Date,u_freq,u_all,d_freq,d_all,c_freq,c_all,s_freq,s_all,t_freq,t_all,b_freq,b_all
Y2022W48,0,0,1,1,10,20,3,5,10,190,9,19
Y2022W49,0,0,0,0,6,8,3,3,8,160,5,41
Y2022W50,1,2,2,2,2,6,1,1,11,48,7,22
Y2022W51,3,3,3,14,5,43,3,4,13,75,4,7
Y2022W52,1,1,3,3,5,8,3,4,9,71,4,12
Y2023W1,0,0,3,4,3,4,1,3,3,11,2,3
Y2023W2,1,1,0,0,1,3,2,2,6,144,2,7
Y2023W3,3,4,2,4,3,5,4,9,10,22,3,4
Y2023W4,0,0,2,16,3,4,3,3,10,35,2,2
Y2023W5,1,1,3,5,6,26,7,15,16,106,5,9
Y2023W6,1,1,4,9,5,16,2,8,10,80,6,21
Y2023W7,2,5,1,2,6,13,1,1,7,115,5,24
Y2023W8,0,0,1,3,2,4,1,1,4,15,4,11
Y2023W9,1,6,1,1,7,24,1,1,8,66,6,9
Y2023W10,0,0,1,3,4,14,4,8,8,71,6,10
Y2023W11,0,0,1,1,4,4,2,3,7,39,1,2
Y2023W12,0,0,2,3,5,22,2,3,4,42,5,10
Y2023W13,1,1,1,1,6,27,3,8,7,119,4,10
Y2023W14,1,1,3,5,8,17,3,4,14,114,5,11
Y2023W15,0,0,4,6,4,11,3,3,8,34,3,4
Y2023W16,0,0,5,13,2,2,1,1,12,93,3,6
Y2023W17,0,0,3,11,3,25,4,8,11,96,5,8
Y2023W18,1,1,2,2,3,5,2,6,6,15,1,2
Y2023W19,1,1,2,4,2,3,5,11,10,51,4,7
Y2023W20,2,4,2,14,3,7,4,6,10,72,6,17
Y2023W21,0,0,1,1,5,5,2,4,12,46,6,7
Y2023W22,0,0,0,0,5,8,0,0,8,51,6,16
